,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,Navigation,Path type,Description,,3,Reviewers,
,,,PLEASE CHOOSE,NA,,,1,Andy,
,,,Home,Tab,,,2,Jia,
,,,,NA,,,15,Sergei,
,,,------------------------------------------------------------------------,NA,,,,,
,,,,NA,,,,,
,,,Deployment and Operations,Tab,,,,,
,,show: false,Deployment and Operations --> Overview,Page,,,,Who can own?,
,,,Deployment and Operations --> Quick start guides,Directory,,,,DX,
,,,Deployment and Operations --> Tyk Open Source API Gateway,Directory,,,,PSAs,
,,,Deployment and Operations --> Tyk Open Source API Gateway --> Overview,,,,,SPMs,
,,show: false,Deployment and Operations --> Tyk Open Source API Gateway --> Getting Started,Page,,,,Leon,
,,,Deployment and Operations --> Tyk Open Source API Gateway --> Installation,Directory,,,,,
,,show: false,Deployment and Operations --> Tyk Open Source API Gateway --> API Gateway Deployment,Page,,,,,
,,show: false,Deployment and Operations --> Tyk Open Source API Gateway --> API Gateway Operations,Page,,,,Path type,
,,,,NA,,,,Tab,
,,,Deployment and Operations --> Tyk Cloud Platform,Directory,,,,Label,
,,show: false,Deployment and Operations --> Tyk Cloud Platform --> Overview,Page,,,,Directory,
,,,Deployment and Operations --> Tyk Cloud Platform --> Getting Started,Directory,,,,Page,
,,show: false,Deployment and Operations --> Tyk Cloud Platform --> Getting Started --> Tyk Cloud Trial,Page,,,,NA,Not available
,,show: false,Deployment and Operations --> Tyk Cloud Platform --> Getting Started --> Licensing and deployment models,Page,,,,Hide,
,,show: false,Deployment and Operations --> Tyk Cloud Platform --> Getting Started --> Hybrid deployment,Page,,,,,
,,,Deployment and Operations --> Tyk Cloud Platform --> Day 0 - Design phase,Directory,,,,,
,,show: false,Deployment and Operations --> Tyk Cloud Platform --> Day 0 - Design phase --> Availability of infrastructure,Page,,,,,
,,show: false,Deployment and Operations --> Tyk Cloud Platform --> Day 0 - Design phase --> User identity,Page,,,,,
,,show: false,Deployment and Operations --> Tyk Cloud Platform --> Day 0 - Design phase --> Manage subscriptions and add-ons,Page,,,,,
,,show: false,Deployment and Operations --> Tyk Cloud Platform --> Day 0 - Design phase --> Environments and deployments,Page,,,,,
,,show: false,Deployment and Operations --> Tyk Cloud Platform --> Day 0 - Design phase --> Teams and users,Page,,,,,
,,,Deployment and Operations --> Tyk Cloud Platform --> Day 1 - Deployment in production,Directory,,,,,
,,show: false,Deployment and Operations --> Tyk Cloud Platform --> Day 1 - Deployment in production --> Deploy features to the Tyk cloud,Page,,,,,
,,show: false,Deployment and Operations --> Tyk Cloud Platform --> Day 1 - Deployment in production --> Enable configuration and workflows between deployments,Page,,,,,
,,,Deployment and Operations --> Tyk Cloud Platform --> Day 2 - Operations,Directory,,,,,
,,show: false,"Deployment and Operations --> Tyk Cloud Platform --> Day 2 - Operations --> Manage, audit and govern cloud infrastructure",Page,,,,,
,,show: false,Deployment and Operations --> Tyk Cloud Platform --> Day 2 - Operations --> Observability of cloud data,Page,,,,,
,,show: false,Deployment and Operations --> Tyk Cloud Platform --> Day 2 - Operations --> Using plugins,Page,,,,,
,,show: false,Deployment and Operations --> Tyk Cloud Platform --> Day 2 - Operations --> Accounts and billing,Page,,,,,
,,show: false,Deployment and Operations --> Tyk Cloud Platform --> Day 2 - Operations --> Troubleshooting and support,Page,,,,,
,,,,NA,,,,,
,,,Deployment and Operations --> Tyk Self Managed,Directory,,,,,
,,,Deployment and Operations --> Tyk Self Managed --> Overview,,,,,,
,,,Deployment and Operations --> Tyk Self Managed --> Getting Started,Directory,,,,,
,,,Deployment and Operations --> Tyk Self Managed --> Getting Started --> Installation,Directory,,,,,
,,,Deployment and Operations --> Tyk Self Managed --> Getting Started --> Quick Start demos,Directory,,,,,
,,,Deployment and Operations --> Tyk Self Managed --> Getting Started --> Quick Start demos --> Single Region,Label,,,,,
,,show: false,Deployment and Operations --> Tyk Self Managed --> Getting Started --> Quick Start demos --> Single Region --> Tyk & K8s demo,Page,,,,,
,,show: false,Deployment and Operations --> Tyk Self Managed --> Getting Started --> Quick Start demos --> Single Region --> Tyk & Docker demo,Page,,,,,
,,,Deployment and Operations --> Tyk Self Managed --> Getting Started --> Quick Start demos --> Multi Region,Label,,,,,
,,show: false,Deployment and Operations --> Tyk Self Managed --> Getting Started --> Quick Start demos --> Multi Region --> Kuberenetes Demo,Page,,,,,
,,show: false,Deployment and Operations --> Tyk Self Managed --> Getting Started --> Quick Start demos --> Multi Region --> Docker Demo,Page,,,,,
,,show: false,Deployment and Operations --> Tyk Self Managed --> Getting Started --> Quick Start demos --> Multi Region --> Servers/VMs,Page,,,,,
,,show: false,Deployment and Operations --> Tyk Self Managed --> Getting Started --> Licensing and deployment models,Page,,,,,
,,,Deployment and Operations --> Tyk Self Managed --> Day 0 - Design phase,Directory,,,,,
,,show: false,Deployment and Operations --> Tyk Self Managed --> Day 0 - Design phase --> Design for high availability and performance,Page,,,,,
,,show: false,Deployment and Operations --> Tyk Self Managed --> Day 0 - Design phase --> Design for CI/CD,Page,,,,,
,,show: false,"Deployment and Operations --> Tyk Self Managed --> Day 0 - Design phase --> Multi-tenancy with Orgs, Teams and Users",Page,,,,,
,,show: false,Deployment and Operations --> Tyk Self Managed --> Day 0 - Design phase --> Resource sizing,Page,,,,,
,,show: false,"Deployment and Operations --> Tyk Self Managed --> Day 0 - Design phase --> Design for compliance (security, data privacy, data residency)",Page,,,,,
,,show: false,Deployment and Operations --> Tyk Self Managed --> Day 0 - Design phase --> Design for disaster recovery,Page,,,,,
,,show: false,Deployment and Operations --> Tyk Self Managed --> Day 0 - Design phase --> Design for multiple data centres,Page,,,,,
,,,,NA,,,,,
,,,Deployment and Operations --> Tyk Self Managed --> Day 1 - Deployment in production,Directory,,,,,
,,show: false,Deployment and Operations --> Tyk Self Managed --> Day 1 - Deployment in production --> Deploy Tyk components and their dependencies,Page,,,,,
,,show: false,Deployment and Operations --> Tyk Self Managed --> Day 1 - Deployment in production -->  Set-up infrastructure monitoring,Page,,,,,
,,show: false,Deployment and Operations --> Tyk Self Managed --> Day 1 - Deployment in production --> Set-up GitOps,Page,,,,,
,,show: false,Deployment and Operations --> Tyk Self Managed --> Day 1 - Deployment in production --> Secure deployment options,Page,,,,,
,,show: false,Deployment and Operations --> Tyk Self Managed --> Day 1 - Deployment in production --> Sending logs to your logging systems,Page,,,,,
,,,,NA,,,,,
,,,Deployment and Operations --> Tyk Self Managed --> Day 2 - Operations,Directory,,,,,
,,show: false,Deployment and Operations --> Tyk Self Managed --> Day 2 - Operations --> Monitor Tyk components and their dependencies,Page,,,,,
,,show: false,Deployment and Operations --> Tyk Self Managed --> Day 2 - Operations --> Monitoring Upstream Services,Page,,,,,
,,show: false,Deployment and Operations --> Tyk Self Managed --> Day 2 - Operations --> Scaling up and down depending on usage/performance,Page,,,,,
,,show: false,Deployment and Operations --> Tyk Self Managed --> Day 2 - Operations --> Troubleshoot Tyk components and their dependencies in case of issues,Page,,,,,
,,show: false,"Deployment and Operations --> Tyk Self Managed --> Day 2 - Operations --> Manage plug-ins (install, monitor, update, configure)",Page,,,,,
,,show: false,"Deployment and Operations --> Tyk Self Managed --> Day 2 - Operations --> Manage third party integrations (API observability, observability, ...)",Page,,,,,
,,show: false,Deployment and Operations --> Tyk Self Managed --> Day 2 - Operations --> Maintain Tyk configuration,Page,,,,,
,,show: false,Deployment and Operations --> Tyk Self Managed --> Day 2 - Operations --> Upgrade Tyk components and their dependencies,Page,,,,,
,,,------------------------------------------------------------------------,NA,,,,,
,,,,NA,,,,,
,,,Managing APIs,Tab,,,,,
,,show: false,Managing APIs --> Overview,Page,,,,,
,,,Managing APIs --> Quick start demos,Directory,,,,,
,,show: false,Managing APIs --> Quick start demos --> Protect an API using Tyk OSS Gateway,Page,,,,,
,,show: false,Managing APIs --> Quick start demos --> Securely deploy a REST API (Dashboard),Page,,,,,
,,show: false,Managing APIs --> Quick start demos --> OpenAPI Spec operations (Dashboard),Page,,,,,
,,show: false,Managing APIs --> Quick start demos --> Publish your first API through the Developer Portal,Page,,,,,
,,show: false,Managing APIs --> Quick start demos --> Add a Kafka data source (UDG),Page,,,,,
,,,,NA,,,,,
,,,Managing APIs --> Core API Management,Directory,,,,,
,,show: false,Managing APIs --> Core API Management --> Overview,Page,,,,,
,,,Managing APIs --> Core API Management --> Create APIs,Directory,,,,,
,,show: false,Managing APIs --> Core API Management --> Create APIs --> Plan and define APIs,Page,,,,,
,,show: false,Managing APIs --> Core API Management --> Create APIs --> Create APIs,Page,,,,,
,,show: false,Managing APIs --> Core API Management --> Create APIs --> Define access to APIs,Page,,,,,
,,show: false,Managing APIs --> Core API Management --> Create APIs --> Define governance for APIs,Page,,,,,
,,show: false,Managing APIs --> Core API Management --> Create APIs --> Develop APIs,Page,,,,,
,,show: false,Managing APIs --> Core API Management --> Create APIs --> Protect and secure APIs,Page,,,,,
,,,,NA,,,,,
,,,Managing APIs --> Core API Management --> Deploy APIs,Directory,,,,,
,,show: false,Managing APIs --> Core API Management --> Deploy APIs --> Follow governance for APIs,Page,,,,,
,,show: false,Managing APIs --> Core API Management --> Deploy APIs --> Document APIs,Page,,,,,
,,show: false,Managing APIs --> Core API Management --> Deploy APIs --> Test APIs,Page,,,,,
,,show: false,Managing APIs --> Core API Management --> Deploy APIs --> Deploy APIs,Page,,,,,
,,,,NA,,,,,
,,,Managing APIs --> Core API Management --> API Operations,Directory,,,,,
,,show: false,Managing APIs --> Core API Management --> API Operations --> Version APIs,Page,,,,,
,,show: false,Managing APIs --> Core API Management --> API Operations--> Troubleshoot APIs,Page,,,,,
,,show: false,Managing APIs --> Core API Management --> API Operations --> Monitor APIs,Page,,,,,
,,show: false,Managing APIs --> Core API Management --> API Operations --> API Observability,Page,,,,,
,,,,NA,,,,,
,,,Managing APIs --> Publish API Products,Directory,,,,,
,,show: false,Managing APIs --> Publish API Products --> Overview,Page,,,,,
,,,Managing APIs --> Publish API Products --> Deployment,Directory,,,,,
,,,Managing APIs --> Publish API Products --> API Publishing,Directory,,,,,
,,show: false,Managing APIs --> Publish API Products --> API Publishing --> Publish APIs to the portal,Page,,,,,
,,show: false,Managing APIs --> Publish API Products --> API Publishing --> Manage developers and developer audiences,Page,,,,,
,,show: false,Managing APIs --> Publish API Products --> API Publishing --> Portal customization,Page,,,,,
,,show: false,Managing APIs --> Publish API Products --> API Publishing --> Document API Products,Page,,,,,
,,show: false,Managing APIs --> Publish API Products --> API Publishing --> Debug apps and resolve integration issues,Page,,,,,
,,,,NA,,,,,
,,,Managing APIs --> Publish API Products --> API Consumer access,Directory,,,,,
,,show: false,Managing APIs --> Publish API Products --> API Consumer access --> Enable consumers to access API Products,Page,,,,,
,,show: false,Managing APIs --> Publish API Products --> API Consumer access --> Provide self-service debug capabilities to developers,Page,,,,,
,,,,NA,,,,,
,,,Managing APIs --> Publish API Products --> API Product Management,Directory,,,,,
,,,Managing APIs --> Publish API Products --> API Product Management --> Business value reporting,Directory,,,,,
,,,Managing APIs --> Publish API Products --> API Product Management --> API monetization,Directory,,,,,
,,,,NA,,,,,
,,,Managing APIs --> UDG TBC,Directory,,,,,
,,show: false,Managing APIs --> UDG TBC --> Overview,Page,,,,,
,,,Managing APIs --> UDG TBC --> Data Graph Design,Directory,,,,,
,,show: false,Managing APIs --> UDG TBC --> Data Graph Design --> Design UDG schemas / APIs,Page,,,,,
,,show: false,Managing APIs --> UDG TBC --> Data Graph Design --> Manage data sources,Page,,,,,
,,,Managing APIs --> UDG TBC --> Data Graph management,Directory,,,,,
,,show: false,Managing APIs --> UDG TBC --> Data Graph management --> Define access to UDG APIs,Page,,,,,
,,show: false,Managing APIs --> UDG TBC --> Data Graph management --> Test UDG,Page,,,,,
,,show: false,Managing APIs --> UDG TBC --> Data Graph management --> Monitor / Troubleshoot UDG,Page,,,,,
,,show: false,Managing APIs --> UDG TBC --> Data Graph management --> Version UDG,Page,,,,,
,,show: false,Managing APIs --> UDG TBC --> Data Graph management --> Expose as a REST API,Page,,,,,
,,,Managing APIs --> GraphQL --> GQL Federation,Directory,,,,,
,,show: false,Managing APIs --> GraphQL --> GQL Federation --> Federated GraphQL,Page,,,,,
,,,,NA,,,,,
,,,------------------------------------------------------------------------,NA,,,,,
,,,,NA,,,,,
,,,Product Stack,Tab,,,,,
,,show: false,Product Stack --> Overview,Page,,,,,
,,,Product Stack --> Tyk Gateway,Directory,,,,,
,,,Product Stack --> Tyk Gateway --> Key Concepts,Directory,,,,,
,,,Product Stack --> Tyk Gateway --> Key Concepts --> OAS API definition,Directory,,,,,
,,,Product Stack --> Tyk Gateway --> Key Concepts --> GraphQL,Directory,,,,,
,,,Product Stack --> Tyk Gateway --> Key Concepts --> Manage multiple Environments,Directory,,,,,
,,,Product Stack --> Tyk Gateway --> Basic Config and Security,Directory,,,,,
,,show: false,Product Stack --> Tyk Gateway --> Basic Config and Security --> Overview,Page,,,,,
,,,Product Stack --> Tyk Gateway --> Basic Config and Security --> Security,Directory,,,,,
,,show: false,Product Stack --> Tyk Gateway --> Basic Config and Security --> Security --> Overview,Page,,,,,
,,,Product Stack --> Tyk Gateway --> Basic Config and Security --> Security --> Authentication and Authorization,Directory,,,,,
,,,Product Stack --> Tyk Gateway --> Basic Config and Security --> Security --> MTLS,Directory,,,,,
,,,Product Stack --> Tyk Gateway --> Basic Config and Security --> Security --> Security Policies,Directory,,,,,
,,,Product Stack --> Tyk Gateway --> Basic Config and Security --> Security --> Authentication and Authorization,Directory,,,,,
,,,Product Stack --> Tyk Gateway --> Basic Config and Security --> Control and Limit Traffic,Directory,,,,,
,,,Product Stack --> Tyk Gateway --> Basic Config and Security --> Reduce Latency,Directory,,,,,
,,,"Product Stack --> Tyk Gateway --> Basic Config and Security --> Report, Monitor and Trigger Events",Directory,,,,,
,,,Product Stack --> Tyk Gateway --> Advanced Configurations,Directory,,,,,
,,show: false,Product Stack --> Tyk Gateway --> Advanced Configurations --> Transform Traffic,Page,,,,,
,,,Product Stack --> Tyk Gateway --> Advanced Configurations --> Integration Options,Directory,,,,,
,,,Product Stack --> Tyk Gateway --> Advanced Configurations --> Integration Options --> 3rd Party Identity Providers,Directory,,,,,
,,,Product Stack --> Tyk Gateway --> Advanced Configurations --> Integration Options --> API Authentication Mode,Directory,,,,,
,,,Product Stack --> Tyk Gateway --> Advanced Configurations --> OpenTracing,Directory,,,,,
,,,Product Stack --> Tyk Gateway --> Advanced Configurations --> Plug-ins,Directory,,,,,
,,,Product Stack --> Tyk Gateway --> Advanced Configurations --> Compose APIs,Directory,,,,,
,,,Product Stack --> Tyk Gateway --> API Documentation,Directory,,,,,
,,,Product Stack --> Tyk Gateway --> API Documentation --> Overview,Directory,,,,,
,,,Product Stack --> Tyk Gateway --> API Documentation --> Tyk Native API Definition,Directory,,,,,
,,,Product Stack --> Tyk Gateway --> API Documentation --> Tyk OAS API definition,Directory,,,,,
,,,Product Stack --> Tyk Gateway --> Environment Variables,Directory,,,,,
,,,Product Stack --> Tyk Gateway --> Troubleshooting,Directory,,,,,
,,,Product Stack --> Tyk Gateway --> Release notes,Directory,,,,,
,,show: false,Product Stack --> Tyk Gateway --> Release notes --> Changelog,Page,,,,,
,,,Product Stack --> Tyk Gateway --> Release notes --> Old releases,Directory,Place for prev releases till we have time to update these pages ,,,,
,,,Product Stack --> Tyk Gateway --> Release notes --> Release highlights and upgrades,Directory,,,,,
,,show: false,Product Stack --> Tyk Gateway --> Release notes --> Release highlights and upgrades --> [version],Page,,,,,
,,,,NA,,,,,
,,,Product Stack --> Tyk Manager,Directory,For everything that doesn't belog to a certain section in this category,,,,
,,show: false,Product Stack --> Tyk Manager --> Overview,Page,,,,,
,,,Product Stack --> Tyk Manager --> Advanced Configurations,Directory,,,,,
,,,Product Stack --> Tyk Manager --> Advanced Configurations --> User Management,Directory,,,,,
,,,Product Stack --> Tyk Manager --> Advanced Configurations --> Classic Portal,Directory,,,,,
,,,Product Stack --> Tyk Manager --> Advanced Configurations --> SSO,Directory,,,,,
,,,Product Stack --> Tyk Manager --> Advanced Configurations --> Analytics,Directory,,,,,
,,,Product Stack --> Tyk Manager --> Advanced Configurations --> Security,Directory,,,,,
,,,Product Stack --> Tyk Manager --> API Documentation,Directory,,,,,
,,,Product Stack --> Tyk Manager --> API Documentation -> Dashboard Admin API,Directory,,,,,
,,,Product Stack --> Tyk Manager --> Environment Variables,Directory,,,,,
,,,Product Stack --> Tyk Manager --> Troubleshooting,Directory,,,,,
,,,Product Stack --> Tyk Manager --> Release notes,Directory,,,,,
,,show: false,Product Stack --> Tyk Manager --> Release notes --> Changelog,Page,,,,,
,,,Product Stack --> Tyk Manager --> Release notes --> Old releases,Directory,Place for prev releases till we have time to update these pages ,,,,
,,,Product Stack --> Tyk Manager --> Release notes --> Release highlights and upgrades,Directory,,,,,
,,show: false,Product Stack --> Tyk Manager --> Release notes --> Release highlights and upgrades --> [version],Page,,,,,
,,,Product Stack --> Tyk Manager --> Tyk Classic Developer Portal,Directory,,,,,
,,,Product Stack --> Tyk Manager --> Tyk Classic Developer Portal --> Advanced Configurations,Directory,,,,,
,,,Product Stack --> Tyk Manager --> Tyk Classic Developer Portal --> API Documentation,Directory,,,,,
,,,Product Stack --> Tyk Manager --> Tyk Classic Developer Portal --> Environment Variables,Directory,,,,,
,,,Product Stack --> Tyk Manager --> Tyk Classic Developer Portal --> Portal Customisation,Directory,,,,,
,,,Product Stack --> Tyk Manager --> Tyk Classic Developer Portal --> Troubleshooting,Directory,,,,,
,,,Product Stack --> Tyk Manager --> Tyk Classic Developer Portal --> Classic Portal release notes,Directory,,,,,
,,,,NA,,,,,
,,,Product Stack --> Tyk Enterprise Developer Portal,Directory,,,,,
,,show: false,Product Stack --> Tyk Enterprise Developer Portal --> Overview,Page,,,,,
,,,Product Stack --> Tyk Enterprise Developer Portal --> Getting Started,Directory,,,,,
,,,Product Stack --> Tyk Enterprise Developer Portal --> Managing Access,Directory,,,,,
,,,Product Stack --> Tyk Enterprise Developer Portal --> Advanced Configurations,Directory,,,,,
,,,Product Stack --> Tyk Enterprise Developer Portal --> Advanced Configurations --> Portal Customisation,Directory,,,,,
,,,Product Stack --> Tyk Enterprise Developer Portal --> Advanced Configurations --> Portal Customisation --> Full Customisation,Directory,,,,,
,,,Product Stack --> Tyk Enterprise Developer Portal --> API Documentation,Directory,,,,,
,,,Product Stack --> Tyk Enterprise Developer Portal --> Environment Variables,Directory,,,,,
,,,Product Stack --> Tyk Enterprise Developer Portal --> Troubleshooting,Directory,,,,,
,,,Product Stack --> Tyk Enterprise Developer Portal --> Developer portal release notes,Directory,,,,,
,,,,NA,,,,,
,,,Product Stack --> Tyk Enterprise (MDCB),Directory,For everything that doesn't belog to a certain section in this category,,,,
,,show: false,Product Stack --> Tyk Enterprise (MDCB) --> Overview,Page,,,,,
,,,Product Stack --> Tyk Enterprise (MDCB) --> Getting Started,Directory,,,,,
,,,Product Stack --> Tyk Enterprise (MDCB) --> Advanced Configurations,Directory,,,,,
,,,Product Stack --> Tyk Enterprise (MDCB) --> API Documentation,Directory,,,,,
,,,Product Stack --> Tyk Enterprise (MDCB) --> Environment Variables,Directory,,,,,
,,,Product Stack --> Tyk Enterprise (MDCB) --> Troubleshooting,Directory,,,,,
,,,Product Stack --> Tyk Enterprise (MDCB) --> Release notes,Directory,,,,,
,,show: false,Product Stack --> Tyk Enterprise (MDCB) --> Release notes --> Changelog,Page,,,,,
,,,Product Stack --> Tyk Enterprise (MDCB) --> Release notes --> Old releases,Directory,Place for prev releases till we have time to update these pages ,,,,
,,,Product Stack --> Tyk Enterprise (MDCB) --> Release notes --> Release highlights and upgrades,Directory,,,,,
,,show: false,Product Stack --> Tyk Enterprise (MDCB) --> Release notes --> Release highlights and upgrades --> [version],Page,,,,,
,,,,NA,,,,,
,,,Product Stack --> Universal Data Graph,Directory,For everything that doesn't belog to a certain section in this category,,,,
,,show: false,Product Stack --> Universal Data Graph --> Overview,Page,,,,,
,,,Product Stack --> Universal Data Graph --> Key Concepts,Directory,,,,,
,,,Product Stack --> Universal Data Graph --> Getting Started,Directory,,,,,
,,,Product Stack --> Universal Data Graph --> Connect Data Sources,Directory,,,,,
,,,Product Stack --> Universal Data Graph --> API Documentation,Directory,,,,,
,,,Product Stack --> Universal Data Graph --> Environment Variables,Directory,,,,,
,,,Product Stack --> Universal Data Graph --> Troubleshooting,Directory,,,,,
,,,Product Stack --> Universal Data Graph --> Technical release notes,Directory,"Not sure we need this section, maybe just ""Release highlights"" also no pages ATM",,,,
,,,,NA,,,,,
,,,Product Stack --> Tyk Pump,Directory,For everything that doesn't belog to a certain section in this category,,,,
,,show: false,Product Stack --> Tyk Pump --> Overview,Page,,,,,
,,,Product Stack --> Tyk Pump --> Getting Started,Directory,,,,,
,,,Product Stack --> Tyk Pump --> API Documentation,Directory,,,,,
,,,Product Stack --> Tyk Pump --> Environment Variables,Directory,,,,,
,,,Product Stack --> Tyk Pump --> Advanced Configurations,Directory,,,,,
,,show: false,Product Stack --> Tyk Pump --> Advanced Configurations --> Configure Data Sinks,Page,,,,,
,,,Product Stack --> Tyk Pump --> Troubleshooting,Directory,,,,,
,,,Product Stack --> Tyk Pump --> Release notes,Directory,,,,,
,,show: false,Product Stack --> Tyk Pump --> Release notes --> Changelog,Page,,,,,
,,,Product Stack --> Tyk Pump --> Release notes --> Old releases,Directory,Place for prev releases till we have time to update these pages ,,,,
,,,Product Stack --> Tyk Pump --> Release notes --> Release highlights and upgrades,Directory,,,,,
,,show: false,Product Stack --> Tyk Pump --> Release notes --> Release highlights and upgrades --> [version],Page,,,,,
,,,,NA,,,,,
,,,Product Stack --> Tyk Operator,Directory,,,,,
,,show: false,Product Stack --> Tyk Operator --> Overview,Page,,,,,
,,,Product Stack --> Tyk Operator --> Getting Started,Directory,,,,,
,,,Product Stack --> Tyk Operator --> API Documentation,Directory,,,,,
,,,Product Stack --> Tyk Operator --> Environment Variables,Directory,,,,,
,,,Product Stack --> Tyk Operator --> Troubleshooting,Directory,,,,,
,,,Product Stack --> Tyk Operator --> Release notes,Directory,no pages ATM,,,,
,,,Product Stack --> Tyk Operator --> Release notes --> Changelog,Directory,,,,,
,,,Product Stack --> Tyk Operator --> Release notes --> Old releases,Directory,Place for prev releases till we have time to update these pages ,,,,
,,,Product Stack --> Tyk Operator --> Release notes --> Release highlights and upgrades,Directory,,,,,
,,show: false,Product Stack --> Tyk Operator --> Release notes --> Release highlights and upgrades --> [version],Page,,,,,
,,,,NA,,,,,
,,,Product Stack --> Tyk Sync,Directory,For everything that doesn't belog to a certain section in this category,,,,
,,show: false,Product Stack --> Tyk Sync --> Overview,Page,,,,,
,,,Product Stack --> Tyk Sync --> Getting Started,Directory,,,,,
,,,Product Stack --> Tyk Sync --> Advanced Configurations,Directory,,,,,
,,,Product Stack --> Tyk Sync --> API Documentation,Directory,,,,,
,,,Product Stack --> Tyk Sync --> Environment Variables,Directory,,,,,
,,,Product Stack --> Tyk Sync --> Troubleshooting,Directory,,,,,
,,,Product Stack --> Tyk Sync --> Release Notes,Directory,,,,,
,,,,NA,,,,,
,,,Product Stack --> Tyk Identity Broker,Directory,,,,,
,,show: false,Product Stack --> Tyk Identity Broker --> Overview,Page,,,,,
,,,Product Stack --> Tyk Identity Broker --> Getting Started,Directory,,,,,
,,,Product Stack --> Tyk Identity Broker --> API Documentation,Directory,,,,,
,,,Product Stack --> Tyk Identity Broker --> Environment Variables,Directory,,,,,
,,,Product Stack --> Tyk Identity Broker --> Advanced Config,Directory,,,,,
,,,Product Stack --> Tyk Identity Broker --> Troubleshooting,Directory,,,,,
,,,Product Stack --> Tyk Identity Broker --> Release notes,Directory,Not sure we need this section also no pages ATM,,,,
,,,,NA,,,,,
,,,------------------------------------------------------------------------,NA,,,,,
,,,Developer Support,Tab,For everything that doesn't belog to a certain section in this category,,,,
,,show: false,Developer Support --> Overview,Page,,,,,
,,,Developer Support --> Tyk APIs reference,Directory,,,,,
,,,Developer Support --> SDK,Hide,,,,,
,,,Developer Support --> CLI,Hide,,,,,
,,show: false,Developer Support --> Config reference,Page,,,,,
,,,Developer Support --> Debugging series,Directory,For everything that doesn't belog to a certain section in this category,,,,
,,,Developer Support --> Performance benchmarketing,Directory,,,,,
,,,Developer Support --> Troubleshooting and FAQ,Directory,,,,,
,,show: false,"Developer Support --> Marketplace of plugin, dev repositories and code snippet",Page,,,,,
,,show: false,Developer Support --> Tyk release summary,Directory,,,,,
,,show: false,Developer Support --> Contribute to Tyk Docs,Page,,,,,
,,,,NA,,,,,
,,,------------------------------------------------------------------------,NA,,,,,
,,,,NA,,,,,
,,,APIM Best Practices,Tab,,,4,MK,
,,show: false,APIM Best Practices --> Overview,Page,,,5,Sandeep,
,,show: false,APIM Best Practices --> API security best practice,Page,,,7,Travis,
,,show: false,APIM Best Practices --> FLAPIM best practice,Page,,,9,Yaara,
,,show: false,APIM Best Practices --> API architectural patterns,Page,,,10,Keith,
,,show: false,APIM Best Practices --> Sector specific guides,Page,,,11,Carol,
,,show: false,APIM Best Practices --> APIs as integration,Page,,,12,Agata,
,,show: false,APIM Best Practices --> Creating a PoC,Page,,,14,Sonja,
,,,,NA,,,15,Sergei,
,,,Page doesn't exists,NA,,,,,
,,,Delete Page,NA,,,,,
,,,Other,NA,,,,,
,,,Copy content to another place,NA,,,,,
,,,----- End of the list -----,NA,,,,,
